,"අපට මෙය ඉක්මන් කළ හැකිද? Roxanne Korrine සහ Andrew Barrett හතර දෙනා අතරේ ඇදහිය නොහැකි තරම් බිහිසුණු මහජන විරසකයක් ඇති කරගෙන සිටිති. 
නැවතත්.","හොඳයි, මම හිතුවා අපි උච්චාරණයෙන් පටන් ගනිමු, එය ඔබට හරි නම්."
6237,"මම උසාවියට නැඟලා රේල් ඇඳේ අයිතිය ලියකියවිලි බැලුවා. රේල් පාරට අපේ ඉඩමවත් අවශ්‍ය නැහැ, දෙපැත්තේ තියෙන ඉඩම තමන්ට පුළුවන් විදියට ගන්නවා.",අපොයි. ඒ කියවන හැම දෙයක්ම සාර්ථක වුණා.
6238,ඔබ මේ තරුණිය සමඟ රොටි ගැසීම නවතා නැවත ගොවිතැන් කිරීමට සූදානම්ද?,ඔයා සිතන්නේ කුමක් ද?
6239,ඔයා සිතන්නේ කුමක් ද?,"ඔබ කරත්තයට නගිනවාද? අම්මා ඔයාව ගෙදර ඉන්නකම් එයාටම ඔයා ගැන අවුල් කරන්න, එයා මාව අසරණ කරනවා."
6240,ඔබ දැන් ටිකක් වැඩි පෙනුමක් ඇති නිසා කවුරුහරි --,"කට වහපන්. අහ්, ඩොක්ටර්, මම කල්පනා කළේ, අද හවස, මට එන්න පුළුවන්ද?"
6241,පින්කර්ටන්. ඒක රේල් පාර.,මා.
6242,... අපිට ඉදිරියට යන්න පුළුවන්. නැවත ගොඩනඟන්න. වෙනත් තැනක යහපත් ජීවිතයක් ගත කරන්න.,ගණන් ගන්න එපා.
6243,ගණන් ගන්න එපා.,හිතුවේ නෑ ඔයා එහෙම කරයි කියලා. මම මිනී පෙට්ටිය හදන්න යනවා.
6244,හිතුවේ නෑ ඔයා එහෙම කරයි කියලා. මම මිනී පෙට්ටිය හදන්න යනවා.,ඒවා දහසක් සාදන්න. මම සමත් වන විට තවමත් ප්රමාණවත් නොවනු ඇත.
6245,ඒක ඇතුලට ගියේ කොහොමද?,හොඳයි. එය මෙතැනින් පිටතට ගියේ කෙසේද?
6246,හොඳයි. එය මෙතැනින් පිටතට ගියේ කෙසේද?,අපිට කතා කරන්න වෙනවා...
6247,ඒ වගේම මම ඔබව එල්ලුම් ගහේ තට්ටුවෙන් බස්සන්න සැලසුම් කළා --,ඒ වගේම තමයි ඔය දෙන්නම කල්ලිය මෙහෙයවන්නේ. ඔය බැංකුවට දෙන්නා ගියේ එකට නේද?
6248,එය Pinkerton රහස් පරීක්ෂකයින් විසින් ආරක්ෂා කරනු ලැබේ.,ඒ වගේම මට පින්කර්ටන් රහස් පරීක්ෂකයින් කිහිප දෙනෙකුට වෙඩි තැබීමට අවශ්‍යයි.
6249,මම හිතන්නේ නැහැ ඒක ව්‍යාජ එකක් කියලා. සංසන්දනය කිරීම සඳහා මම ඔබගේ සියලු සැබෑ බිල්පත් දෙස බැලුවහොත් ඔබට කමක් නැද්ද?,ඒක විද්‍යාත්මක ක්‍රමය. ඔක්කොම තරහයි.
6250,මහත්තයෝ අපි මෙතන මොකක් හරි මැද්දේ.,බොබ් කලබල වෙලා.
6251,බොබ් කලබල වෙලා.,පෝස්ටර් ද?
6252,"ප්‍රමාදයට සමාවෙන්න, මිනිස්සු, නමුත් අපට මැඩ් බොබ් යංගර් පාලනය කර ගැනීමට සිදු විය!","බොබ් කිවිසුම් යාම නිසා මිනිසෙකු මරා දමනු ඇත, ඔහු කල්ලියේ හොඳම වෙඩි තැබීමයි."
6253,මේ වසර හොඳ වසරක් විය.,"ජෙසී, අපි නීති විරෝධීයි."
6254,"ජෙසී, අපි නීති විරෝධීයි.",ඒ වගේම අපි ඒකට දක්ෂයි.
6255,ඒ වගේම අපි ඒකට දක්ෂයි.,ඒක ඔයාට ලැබුනා නේද. යුද්ධයේ සියලු ඝාතන. ඔබට එය දැන් අවශ්‍යයි.
6256,ඒක ඔයාට ලැබුනා නේද. යුද්ධයේ සියලු ඝාතන. ඔබට එය දැන් අවශ්‍යයි.,ඔබ ඔබේ සාධාරණ පිරිමින් මරා දැමුවා.
6257,ඔබ ඔබේ සාධාරණ පිරිමින් මරා දැමුවා.,මට නැවත ගොවිතැනට යාමට හැකි නම් -
6258,මට නැවත ගොවිතැනට යාමට හැකි නම් -,ඒක බොරුවක්. අපි හොරකම් කරපු සල්ලි වලින් ඔයාට ෆාම් දුසිමක් ගන්න තිබ්බා.
6259,ඒක බොරුවක්. අපි හොරකම් කරපු සල්ලි වලින් ඔයාට ෆාම් දුසිමක් ගන්න තිබ්බා.,මට ඔයාව දාලා යන්න බෑ. ඔයා අයින් වෙනකම් මට අයින් වෙන්න බෑ. අම්මට ඒක එහෙම වෙන්න ඇති.
6260,මට ඔයාව දාලා යන්න බෑ. ඔයා අයින් වෙනකම් මට අයින් වෙන්න බෑ. අම්මට ඒක එහෙම වෙන්න ඇති.,අපි මේක කරන්නේ අම්මා වෙනුවෙන්.
6261,අපි මේක කරන්නේ අම්මා වෙනුවෙන්.,සමහර විට එය එසේ ආරම්භ විය. නමුත් දැන්...
6262,සමහර විට එය එසේ ආරම්භ විය. නමුත් දැන්...,"ෆ්‍රෑන්ක්, ඔයාට මම මොනවද කියන්න ඕනේ? මම අවුරුදු පහළොවේදී පිරිමින්ව මැරුවා. මම වෙඩි තියන්න කැමතියි. මම ආසයි මගේ පිටිපස්සෙන් ටවුමෙන් පිට පදින්න. මේක ගොවිතැනට වඩා හොඳ ජීවිතයක්."
6263,"ෆ්‍රෑන්ක්, ඔයාට මම මොනවද කියන්න ඕනේ? මම අවුරුදු පහළොවේදී පිරිමින්ව මැරුවා. මම වෙඩි තියන්න කැමතියි. මම ආසයි මගේ පිටිපස්සෙන් ටවුමෙන් පිට පදින්න. මේක ගොවිතැනට වඩා හොඳ ජීවිතයක්.",Zee සමඟ ඔබට ගත හැකි ජීවිතයට වඩා හොඳ ජීවිතයක්?
6264,අපි බීලා.,ඕ ඇත්ත.
6265,ඕ ඇත්ත.,මට උදව්වක් කරන්න. මේ සඳහා සෑම කෙනෙකුටම වැය වන මුදල ගැන සිතන්න. දුම්රිය මාර්ගය පමණක් නොවේ.
6266,"ඔයා දැන් මට විරුද්ධව පැත්තක් ගන්නවා, ෆ්‍රෑන්ක්?","නැහැ, මම --"
6267,ඒවා ඔක්කොම අමුණලා. දොර ළඟටවත් යන්න බැහැ.,අදහසක් තියෙනවද මල්ලි?
6268,"Web එකෙන් ඉගෙන ගන්න ඕන. එය විනෝදජනක පෙනුමක් ඇති කළේය, එය වික්‍රමාන්විතයක් මෙන් විය. වෙබ් මැරුවා. දැන් ජිම්.",ජිම් හොඳටම වයසයි...
6269,ජිම් හොඳටම වයසයි...,ඔහු බටහිර රටවල ප්‍රසිද්ධ නීති විරෝධීන් සමඟ පදින පිරිමි ළමයෙකි. ඔහු එය එපා කියන්නට වූයේ කෙසේද?
6270,ඔහු බටහිර රටවල ප්‍රසිද්ධ නීති විරෝධීන් සමඟ පදින පිරිමි ළමයෙකි. ඔහු එය එපා කියන්නට වූයේ කෙසේද?,රේල් පාර ඔහුවත් පුළුස්සා දැමුවා. ඔයාට එයාව නවත්තන්න බැරි උනා.
6271,රේල් පාර ඔහුවත් පුළුස්සා දැමුවා. ඔයාට එයාව නවත්තන්න බැරි උනා.,මම දන්නා බුද්ධිමත්ම මිනිසාට ඔබ දුප්පත් බොරුකාරයෙකි.
6272,මම දන්නා බුද්ධිමත්ම මිනිසාට ඔබ දුප්පත් බොරුකාරයෙකි.,ඔව්.
6273,ඔව්.,දුම්රිය මාර්ගයට එරෙහි යුද්ධයක්. මොන මගුලක්ද අපි හිතුවේ?
6274,දුම්රිය මාර්ගයට එරෙහි යුද්ධයක්. මොන මගුලක්ද අපි හිතුවේ?,මට විශ්වාසයි ඒ වෙලාවේ ඒක හොඳ අදහසක් වගේ.
