,Question,Answer
3672,Hey.,What are you doing?
3673,Nothing.,You built a fort didn't ya?
3674,Kinda.,"Oh my God, the air purifier! Ross's air purifier! All I heard through 4 years of college was"
3675,"Dude, you should've gone out once and a while.",I hate this thing!
3676,,Hello children!
3677,Hey! Wanna play some foosball? Please?,Okay.
3678,"All right, I have one question. What is the deal with this?",Bye-bye little puppet Joey hand?
3679,"No, the quiet down thing!",You mean this.
3680,"Um-hmm! Look, I-I-I don't know how much more of this I can take! Did you know he taped over my Baywatch tape with some show about bugs! My God! What if that had been porn?","All right look, y'know, this maybe tough but come on, this is Ross! I survived college with him!"
3681,"All right, I guess I can hold out a little longer. Let's have a game.",Okay.
3682,,No-no-no-no!
3683,"Uh fellas,","Okay, so he's out of here."
3684,,"Well, I-I-I'm done with this. You want anything Ross? Sports? International? Apartment listings?"
3685,"Well, I guess I can check out those apartment listings, even though there's never anything in here.",Not even on page 7?
3686,"Oh yeah! You're-hey, you're right! Here's an affordable place, two bedroom, close to work, ooh, it's available in five weeks!",What about that circled one?
3687,But it's available now! Isn't it?,"Yes, it is."
3688,Okay!,There we go!
3689,"Oh-oh-ooh, hey guys, I was wondering if you guys would uh, maybe chip in on some new air filters for the air purifier? I mean after all, we all are using it.",Let's go quicker.
3690,Oh my God!,"Yeah, well look at this kitchen, slash bathroom. Well that's great! Y'know so you can cook while in the tub."
3691,"But hey, Ross, this place is available now!","Yeah, you don't want to be stuck with us for the next five weeks."
3692,How about you?,It's a kitchen slash bathroom.
3693,,We are bad people.
3694,"Maybe, maybe we did a good thing, helping Ross get back on his feet!",Yes that was a nice place!
3695,Yeah!,"Not a lot of closet space, but he can just hang his stuff out the window in a bag!"
3696,,What are we gonna do?
3697,I don't know. Maybe pizza?,About Ross!
3698,"Hello! Oh yeah! It's the apartment manager; Ross put us down as references. Ross is the greatest guy you'll ever meet! Yeah, he's very reliable.","Of course he has this big huge dog! That uh, barks into the night. Well, who doesn't love dogs? Ah, he's a tap dancer! Yes, some would say that is a lost art. He's a pimp! There you go! Yes, he's a pimp. He's a big, tap dancing pimp! Hello?"
3699,,Ohhhhh!
3700,,"98. 99. 100. Okay, go!"
3701,,Here we go! Here we go!
3702,Hey!,Hey!
3703,You're kidding!,"You're kidding, no!"
3704,"Well, we got plenty of space! There-there's still some over there by-by that speaker. Please, just stay!",Yeah!
3705,Definitely!,"Yes! Ross, you have to stay!"
3706,All right!,"All right, buddy!"
3707,,"Well, I see you've had a very productive day. Don't you think the cowboy hat is a little much?"
3708,"Come on, it's fun!",All right! Isn't this a woman's hat?
3709,That's very nice.,"That's sweet, Joey."
3710,"I mean, it's not so much an underpant as it is a feat of engineering. I mean, it's amazing how much they can do with so little material! And the way they play with your mind! Is it there? Is it not there?",Are you aware that you're still talking?
3711,I'm sorry. It's just that this is the worse Thanksgiving ever.,No-no-no! I am the king of bad Thanksgivings. You can't just swoop in here with your bad marriage and take that away from me.
3712,"Oh, come on! I wanna hear it! It wouldn't be Thanksgiving without Chandler bumming us out!","It's a tradition, like the parade. If the parade decided it was gay, moved out, and abandoned its entire family."
3713,I don't know about that. I've got one that's worse.,"""Really? Worse than, """"More turkey Mr. Chandler?"""""""
3714,"Hey, it's not like it sounds.",It's exactly like it sounds.
3715,,Arghhhhhh!!
3716,"It worked! I scared ya, I knew it! Ha-ha!",I'm over here big guy.
3717,,You did look like an idiot.
3718,"Umm, I-I really don't want to tell this story.","Oh, come on Monica, reliving past pain and getting depressed is what Thanksgiving is all about. Y'know, for me anyway. And of course, the Indians."
3719,"Hi, I'm Ross's little sister.",Okay.
3720,"Umm, Chandler, if you want I can make you some macaroni and cheese for dinner.","Well, as long as the pilgrims didn't eat it, I'm in."
3721,Hey Chandler! Did you like the macaroni and cheese?,"Oh yeah, it was great. You should be a chef."
3722,So I'm thinking about asking Rachel out tonight. Y'know maybe play her that song we wrote last week.,Emotional Knapsack?
3723,Yeah.,"Right on! Oh! Uh, but, don't take to long okay? 'Cause uh, we're gonna test out our fake ID's tonight, right Clifford Alverez."
3724,"Listen, Roland Chang, if things go well, I'm gonna be out with her all night.","Dude, don't do that too me!"
3725,,"No, it's not that, I just don't want to be stuck here all night with your fat sister."
3726,,I called you fat?! I don't even remember that!
3727,"Well, I do.",I am so sorry. I really am. I was an idiot back then. I rushed the stage at a Wham concert for crying out loud!
3728,I can't believe you let George Michael slap you.,"I am really sorry. That is so terrible. I am so, so sorry."
3729,"Oh, no, I have the cutest Christmas story!",We wanna hear Monica's Thanksgiving story!
3730,"God, your hair sure is different!","Yeah, we were just talking about that. I can't believe how stupid we used to look."
3731,"Hi, Chandler.",Oh my God!
3732,"What-what's the matter? Is there, is there something on my dress?","You just, you look so different! Terrific! That dress! That body!"
3733,Dude!,Sorry!
3734,Dude!,Sorry.
3735,"Yeah? Okay! Good, good, because he's coming. He's coming. Hey, what's up?","Monica, I was wondering if you can make me some of that righteous mac and cheese like last year."
3736,"Umm, I'd love too! Ooh, I love macaroni and cheese. I love-I love the way this box feels against my cheek.",Okay.
3737,"Boy, I love carrots! Oh! Sometimes I like to put them between my fingers like this and-and hold them down here while I talk to you. Umm, and-and-and y'know if I get really hot umm, I-I like to pick up this knife and-and umm, I-I put the cold steal against umm, my body.",Are you all right?
3738,You brought a carrot.,What?
3739,"It's too late, all we can do now is sow up the wound.",Without my toe?! I need my toe!
3740,,That's why I lost my toe?! Because I called you fat?!
3741,I didn't mean to cut it off. It was an accident.,That's why for an entire year people called me Sir Limps-A-Lot?!
3742,I'm sorry! It wasn't your whole toe!,"Yeah, well, I miss the tip! It's the best part. It has the nail."
3743,,I can't believe this.
3744,"Chandler, I said I was sorry.","Yeah, well, sorry doesn't bring back the little piggy that cried all the way home! I hate this stupid day! And everything about it! I'll see you later."
3745,"Oh wait, Chandler, come here is there anything I can do? Anything?","Yeah, just leave me alone for a while."
3746,,"""Oh-oh, I'm a duck! I go, """"Quack, quack!"""" I'm happy all the time!"""
3747,,Nice try.
3748,"Wait, wait, wait!","Look, Monica..."
3749,Look!,This is not going to work.
3750,I bet this will work!,You are so great! I love you!
3751,What?,"""Nothing! I said, I said """"You're so great"""" and then I just, I just stopped talking!"""
3752,You said you loved me! I can't believe this!,No I didn't!
3753,"Yes, you did!",No I didn't!
3754,You love me!,No I don't! Stop it! Stop it! Stop it! Stop it!
3755,What am I sitting on?,Top of the world? Dock of the bay? I'm out.
3756,"Well, they're not mine!","Well, they're Joey's! They gotta be Joey's!"
3757,"Yeah, they're mine.",See? They're Joey's! J-J-J-J-J-Joey's!
3758,"Well, get 'em out of here! What's wrong with you?",Yeah!
3759,"Yeah, it was! All right, listen, I can't...",All this lying has been hard on us too.
3760,"Oh-oh, yeah-yeah, I bet all the sex makes it easier!","Well, yeah actually."
3761,"We'll try to be more careful okay? It's just that, we don't want everyone to know because this is going really well, and maybe the reason it's going really well is because it's a secret.","I know it sounds really weird, but we're just so bad at relationships."
3762,We are! Help us!,Help!
3763,"Hey, Phoebe!","Hi, Pheebs!"
3764,"Umm, Wethering Heights. I'm taking a literature class at the New School and I have to finish it for the first session tomorrow.",I didn't know you were taking a class. That is so cool.
3765,Someone at work ate my sandwich!,"Well, what did the police say?"
3766,My Thanksgiving leftover sandwich. I can't believe someone ate it!,"Ross, it's just a sandwich!"
3767,,"Knock-knock. Who's there? Ross Geller's lunch. Ross Geller's lunch, who? Ross Geller's lunch, please don't take me. Okay?"
3768,"""Really?! So what would you say Pheebs? Stuff like uh, """"Keep your mitts off my grub?""""""","Say Ross, when you picture Phoebe living on the street, is she surrounded by the entire cast of Annie?"
3769,"Joey, is what she just said umm-Oh my God. You were actually gonna...",What is going on here?
3770,We're so sorry.,Yeah.
3771,"Well, I'm telling everyone about you! That's the only way to explain the underwear and the video camera that doesn't make me look like a pig!","No-no, wait! There's got to be a better explanation. You can tell them you had to make an adult film for your adult film class."
3772,"Yeah, I like that. But no-no, how does that explain why Rachel found my underwear at your place?",Oh-I don't know.
3773,,Hey.
3774,"Hey. Okay, so umm, since that video camera thing didn't work out uh, I thought that I would give you just a little preview.",You're naked in this picture!
3775,,Ross?
3776,On account of my rage.,"Which I may say, right now, is out of control."
3777,"Wait a minute, they're making you take time off work?",And you're okay with that?
3778,Joey has got a secret peephole!,Oh no! No! No! No!
3779,No! I am not a pervert! Okay? It's just... I just... Kinda...,"All right, look! Look. I think I can explain this."
3780,Thank you!,Joey's a sex addict.
3781,I slept with Monica.,Well let's....let's see what everybody thinks of that?
3782,My God Monica!!,Are you sure Joe? Are you sure you're not just a sex addict?
3783,"Ohh, no, no. We're not going to just sit. Shhh.","Hello, Chandler Bing."
3784,Hello Mr. Bing...I love you.,"Alright, whoever this is, stop calling me! It's been six months! It's not funny!"
3785,"But, I love you.","Leave me alone! For the love of God, leave me alone!!!"
3786,"Hey you guys, guess what?",The British are coming?
3787,"Yeah, I already have my bell and later on...I get my bucket.",Ohh.
3788,"Hey, how do you spell suspicious?",Why?
3789,,"Yes! Chandler Bing, 7! Chandler Bing, 0."
3790,You're driving me crazy with that!,"Okay, I'll stop."
3791,"Well, you suck! But at least you suck at a man's game now.",You wanna play?
3792,"Chandler, I can't be playing games, Ross is gonna be home soon. And I have to write five whole pages if I'm gonna stick to his schedule.","Well, so, play for the next 30 minutes and then write until he gets home."
3793,"All right! But uh, listen, what do you say we crank it up a notch?",I'm intrigued.
